x,y,jarvis_20m,elevation
-160.021670678518,-0.376036584007462,-498.0780029296875,250-500 m
-160.021490968484,-0.3760366051804123,-473.9490051269531,250-500 m
-160.02131125843985,-0.3760366263496394,-448.20098876953125,250-500 m
-160.02113154838563,-0.37603664751514354,-420.010986328125,250-500 m
-160.02095183832125,-0.37603666867692465,-404.90301513671875,250-500 m
-160.0207721282468,-0.3760366898349826,-426.81298828125,250-500 m
-160.02059241816224,-0.3760367109893176,-426.23199462890625,250-500 m
-160.0204127080675,-0.3760367321399296,-409.4649963378906,250-500 m
-160.02023299796272,-0.3760367532868185,-432.4840087890625,250-500 m
-160.02005328784784,-0.3760367744299844,-456.56201171875,250-500 m
-160.01987357772282,-0.37603679556942715,-481.1470031738281,250-500 m
-160.01897502694626,-0.37603690121079575,-499.1300048828125,250-500 m
-160.01879531676067,-0.37603692232790026,-472.5580139160156,250-500 m
-160.01861560656496,-0.3760369434412818,-405.4739990234375,250-500 m
-160.0184358963592,-0.3760369645509403,-322.3280029296875,250-500 m
-160.01825618614333,-0.37603698565687577,-278.2250061035156,250-500 m
-160.01807647591738,-0.3760370067590881,-269.0660095214844,250-500 m
-160.01789676568134,-0.3760370278575775,-263.7959899902344,250-500 m
-160.0177170554352,-0.3760370489523437,-257.5840148925781,250-500 m
-160.01753734517902,-0.3760370700433868,-251.33200073242188,250-500 m
-160.01735763491274,-0.37603709113070705,-245.22999572753906,0-249.99 m
-160.01717792463637,-0.376037112214304,-240.4199981689453,0-249.99 m
-160.01699821434997,-0.3760371332941781,-238.3560028076172,0-249.99 m
-160.01681850405342,-0.37603715437032914,-237.17999267578125,0-249.99 m
-160.01663879374684,-0.37603717544275694,-235.09100341796875,0-249.99 m
-160.01645908343022,-0.3760371965114619,-233.9029998779297,0-249.99 m
-160.0162793731035,-0.37603721757644354,-233.1999969482422,0-249.99 m
-160.0160996627667,-0.37603723863770233,-230.3509979248047,0-249.99 m
-160.01591995241984,-0.376037259695238,-223.38499450683594,0-249.99 m
-160.01574024206292,-0.3760372807490506,-214.42300415039063,0-249.99 m
-160.01556053169594,-0.3760373017991401,-203.50100708007813,0-249.99 m
-160.0153808213189,-0.37603732284550656,-189.4530029296875,0-249.99 m
-160.01520111093183,-0.3760373438881499,-166.71800231933594,0-249.99 m
-160.01502140053466,-0.37603736492707024,-134.61900329589844,0-249.99 m
-160.01484169012747,-0.37603738596226755,-112.24800109863281,0-249.99 m
-160.0146619797102,-0.37603740699374166,-95.80780029296875,0-249.99 m
-160.0144822692829,-0.37603742802149276,-76.88459777832031,0-249.99 m
-160.01430255884551,-0.37603744904552083,-57.445499420166016,0-249.99 m
-160.01412284839813,-0.3760374700658258,-37.82640075683594,0-249.99 m
-160.01394313794066,-0.37603749108240764,-21.02120018005371,0-249.99 m
-160.01376342747318,-0.37603751209526654,-14.098099708557129,0-249.99 m
-159.98051682009185,-0.37604133541750856,-5.896500110626221,0-249.99 m
